RF Explorer CSV data file: RFExplorer PC Client - Format v002
Start Frequency: 1388.80004882813MHZ
Step Frequency: 200.000002980232KHZ
Total data entries: 236
Steps per entry: 112
Sweep,Date,Time,Milliseconds,1388.800,1389.000,1389.200,1389.400,1389.600,1389.800,1390.000,1390.200,1390.400,1390.600,1390.800,1391.000,1391.200,1391.400,1391.600,1391.800,1392.000,1392.200,1392.400,1392.600,1392.800,1393.000,1393.200,1393.400,1393.600,1393.800,1394.000,1394.200,1394.400,1394.600,1394.800,1395.000,1395.200,1395.400,1395.600,1395.800,1396.000,1396.200,1396.400,1396.600,1396.800,1397.000,1397.200,1397.400,1397.600,1397.800,1398.000,1398.200,1398.400,1398.600,1398.800,1399.000,1399.200,1399.400,1399.600,1399.800,1400.000,1400.200,1400.400,1400.600,1400.800,1401.000,1401.200,1401.400,1401.600,1401.800,1402.000,1402.200,1402.400,1402.600,1402.800,1403.000,1403.200,1403.400,1403.600,1403.800,1404.000,1404.200,1404.400,1404.600,1404.800,1405.000,1405.200,1405.400,1405.600,1405.800,1406.000,1406.200,1406.400,1406.600,1406.800,1407.000,1407.200,1407.400,1407.600,1407.800,1408.000,1408.200,1408.400,1408.600,1408.800,1409.000,1409.200,1409.400,1409.600,1409.800,1410.000,1410.200,1410.400,1410.600,1410.800,1411.000
0,2013-07-23,17:42:34,.282,-109.5,-110,-102,-106,-104.5,-108.5,-102.5,-100.5,-110.5,-109.5,-105,-111,-103.5,-102,-109.5,-107,-108,-104,-103.5,-104.5,-103.5,-107.5,-105.5,-106.5,-106,-107.5,-106,-102,-105,-103.5,-104.5,-99.5,-108.5,-110,-110.5,-101.5,-113,-101,-110,-107.5,-110,-106,-109.5,-104.5,-108,-106,-103,-106,-108.5,-103.5,-111,-104.5,-107,-105.5,-106.5,-104,-111,-103,-105.5,-105,-104.5,-109,-106,-110.5,-101.5,-107.5,-108,-107.5,-104.5,-101.5,-111,-104,-103.5,-104,-100.5,-103.5,-107,-104,-110,-106,-113,-110.5,-114.5,-105.5,-111,-105.5,-105,-102.5,-109.5,-103.5,-107.5,-94,-103,-106.5,-107,-110,-105,-110,-105.5,-103,-107,-105,-110.5,-106,-103,-105.5,-106,-110,-110,-104,-102.5,-111
1,2013-07-23,17:42:34,.470,-104,-102.5,-105.5,-110.5,-106,-103,-104,-102.5,-105.5,-109,-109,-103.5,-107.5,-101.5,-106,-102,-107,-105,-108.5,-109,-103,-99.5,-105,-111,-107.5,-105,-106.5,-108.5,-107.5,-106,-104.5,-105.5,-105.5,-106.5,-108.5,-106,-105,-102,-107.5,-109,-103.5,-108.5,-110,-103.5,-108.5,-106,-103,-102.5,-103,-105.5,-107,-102.5,-107.5,-106.5,-105,-109,-106,-103.5,-105.5,-107,-101.5,-105.5,-105.5,-106,-104,-106.5,-106,-104,-102.5,-109.5,-105,-102.5,-107.5,-107,-105,-109.5,-107.5,-101,-112,-105.5,-110.5,-104.5,-106.5,-113.5,-104,-106.5,-109,-105,-109,-109.5,-110.5,-106,-114,-100.5,-104.5,-107,-106,-103.5,-99,-108.5,-105,-109.5,-106,-109,-106,-104.5,-101,-100,-105,-104.5,-105.5,-111
2,2013-07-23,17:42:34,.656,-107.5,-106,-109.5,-109,-109,-106.5,-104.5,-109.5,-104,-106.5,-103.5,-104,-105.5,-103.5,-111.5,-102,-102,-104,-109.5,-103.5,-100,-107.5,-105.5,-108,-102.5,-106.5,-106.5,-108.5,-104,-104.5,-101.5,-106,-109,-106,-106.5,-114.5,-106.5,-101,-102.5,-107.5,-105,-103,-113,-103.5,-105.5,-107,-107,-111,-107,-112,-107.5,-105.5,-103,-109,-105,-103.5,-105.5,-112,-102,-101.5,-104,-105,-102.5,-101.5,-102.5,-106.5,-103.5,-106,-106.5,-102.5,-110.5,-99.5,-103.5,-109.5,-108.5,-105.5,-103.5,-112,-107.5,-105.5,-106,-107,-110.5,-106.5,-108,-104.5,-110.5,-103.5,-104.5,-103,-106.5,-94.5,-105.5,-103.5,-109.5,-105,-104.5,-106,-106,-108.5,-105,-102,-106,-106,-109,-104,-103.5,-109.5,-109,-103,-105.5,-109.5
3,2013-07-23,17:42:34,.908,-105,-109.5,-113,-105.5,-105,-108.5,-107.5,-111,-105,-106,-110.5,-104,-101.5,-108,-114.5,-105,-103,-106.5,-111,-106.5,-106.5,-106,-114.5,-107,-108,-110,-110.5,-109,-103,-107.5,-110.5,-102.5,-104.5,-106,-106,-106,-105,-108,-106,-105,-111.5,-107,-98.5,-108.5,-106,-111.5,-107,-107.5,-110,-104.5,-103.5,-111,-104,-103.5,-101.5,-101,-108,-103,-105.5,-103,-104.5,-100.5,-108.5,-109,-108,-105,-100.5,-107,-110.5,-103,-108,-106,-103.5,-103.5,-104,-102.5,-106,-104,-109.5,-106.5,-105,-110,-106,-101,-108.5,-104.5,-102,-102.5,-107,-109,-98,-94,-105,-107.5,-109.5,-106.5,-102.5,-111,-109,-103.5,-100.5,-104,-99.5,-105,-99.5,-103.5,-102,-106,-101.5,-100.5,-108.5,-100
4,2013-07-23,17:42:35,.094,-107,-110.5,-106,-105.5,-104,-105.5,-103.5,-107,-103,-99.5,-107.5,-105,-106.5,-107.5,-102.5,-104,-110,-106,-108,-102.5,-109,-106,-105,-106.5,-110.5,-103,-107.5,-105.5,-102,-105,-104,-106.5,-110,-106,-110,-106,-110,-101.5,-101,-104.5,-102,-103.5,-107,-99,-106.5,-114.5,-110,-104,-102.5,-109,-106.5,-101.5,-108,-107.5,-106.5,-106,-103.5,-101.5,-102,-102,-106,-106.5,-109,-101.5,-114.5,-107.5,-105,-107.5,-104,-101.5,-107,-101,-104.5,-112,-105,-106.5,-100,-105.5,-102.5,-104.5,-110,-110.5,-108,-106.5,-104.5,-107,-109,-105,-103,-109,-106.5,-94,-102.5,-103,-103,-102.5,-107.5,-101,-113,-101,-104,-107,-108,-110,-102.5,-108.5,-102,-102,-110,-107.5,-100.5,-103
5,2013-07-23,17:42:35,.282,-107,-103,-110.5,-103.5,-103,-104,-104.5,-103.5,-101,-111.5,-106,-108.5,-101.5,-103.5,-104.5,-107.5,-112.5,-107.5,-104,-109,-106,-109,-107.5,-105,-102.5,-112,-106,-109,-112.5,-104.5,-106,-113.5,-112,-104.5,-105.5,-105.5,-105,-106.5,-104.5,-110.5,-106.5,-100.5,-110,-110,-107,-107,-107,-107,-105.5,-107,-101,-113,-105,-106,-110,-108.5,-105,-107,-114,-107,-104,-103.5,-105,-108,-108,-105,-107,-104.5,-101.5,-101,-106.5,-104,-107,-104,-102.5,-106.5,-107,-103.5,-107,-106,-104,-108.5,-104,-104,-103,-105.5,-103,-110.5,-103.5,-107.5,-110.5,-94.5,-103.5,-105.5,-104.5,-107.5,-103,-107.5,-102,-103.5,-106,-102.5,-112,-104.5,-103,-105.5,-109.5,-104,-105.5,-105.5,-108,-105
6,2013-07-23,17:42:35,.532,-103,-104,-106.5,-104.5,-106,-110.5,-108,-111.5,-106.5,-102.5,-109.5,-108.5,-112,-99,-109.5,-103,-101,-107.5,-109.5,-103.5,-101,-106.5,-104.5,-109,-103,-110.5,-102.5,-101.5,-110.5,-103,-107,-100,-105.5,-105,-104,-106.5,-104.5,-105.5,-108.5,-107,-104,-105.5,-105,-101.5,-103,-109.5,-108,-102,-103,-104.5,-107,-106,-107,-109.5,-105,-106,-103.5,-103.5,-105.5,-106,-107,-107,-107.5,-108.5,-110.5,-104,-102.5,-102.5,-103,-107,-104,-107,-103.5,-104,-106.5,-105,-107,-112,-103.5,-103,-99.5,-104.5,-106,-104.5,-101,-106.5,-106,-104,-110,-107,-98.5,-94,-104,-105.5,-103,-103,-102.5,-104,-102.5,-103,-106.5,-111,-105,-104,-107,-102.5,-101.5,-107,-99.5,-105,-106,-113
7,2013-07-23,17:42:35,.717,-105.5,-106,-109.5,-102,-105.5,-105.5,-103,-105,-107.5,-110.5,-105.5,-107,-103.5,-107.5,-104.5,-107.5,-109.5,-105.5,-109.5,-106.5,-103,-110,-104,-106.5,-108.5,-105.5,-107,-110.5,-113,-106.5,-104.5,-102,-104,-102,-109.5,-102.5,-103.5,-109.5,-103.5,-107,-101,-105,-108.5,-105.5,-109.5,-111,-107.5,-108.5,-107,-107.5,-107.5,-105,-103,-109,-108.5,-111.5,-106.5,-105.5,-108.5,-104.5,-105,-111,-103.5,-106,-104,-104.5,-104.5,-109.5,-103,-103.5,-104,-104,-107,-111,-102.5,-108.5,-104,-108.5,-103.5,-101.5,-104,-107.5,-101.5,-101.5,-105.5,-101,-107.5,-104.5,-108,-102,-103,-104,-106.5,-99.5,-104,-107,-100.5,-110,-102,-104.5,-109,-101,-103,-103.5,-104.5,-113,-105.5,-106.5,-105.5,-107.5,-105,-105
8,2013-07-23,17:42:35,.904,-108.5,-104,-107.5,-103,-107,-105,-105.5,-106,-104,-102.5,-114,-106,-101,-106,-111.5,-104.5,-106.5,-110,-106.5,-105,-102,-111.5,-104.5,-107,-100.5,-108,-107.5,-110.5,-104.5,-102.5,-107,-109,-106.5,-103.5,-104,-111,-107,-104,-104,-113,-103.5,-103.5,-113.5,-101,-101,-103.5,-103.5,-107.5,-103.5,-106,-108,-102,-106,-108,-108.5,-102,-107.5,-110.5,-104,-109.5,-107,-107,-101.5,-101,-106,-107.5,-102.5,-104,-104.5,-105.5,-102.5,-106,-107.5,-103.5,-107.5,-109,-104,-105,-105.5,-105,-106.5,-106.5,-102.5,-107.5,-103.5,-104,-114.5,-111,-107.5,-110,-105,-94,-103.5,-105,-112.5,-111.5,-106,-105,-105.5,-110,-107,-107,-104.5,-102,-105,-102.5,-100.5,-102.5,-103,-110.5,-103,-104
